Title,Release Date,Language,Runtime,Revenue,Budget,Genre,Year,Month,Day,User rating,Rated,Profit
Central do Brasil,1998-01-16,pt,113.0,5596708,2900000,Drama,1998,1,16,N/A,N/A,7400000
Pocketful of Miracles,1961-12-18,en,136.0,5000000,2900000,Comedy,1961,12,18,7.2,Approved,7000000
Hustle & Flow,2005-07-22,en,116.0,23563727,8000000,Drama,2005,7,22,8.1,N/A,6012000
Friday the 13th Part VII: The New Blood,1988-05-13,en,88.0,19170001,2800000,Horror,1988,5,13,5.3,R,8176469
Young Frankenstein,1974-12-15,en,106.0,86273333,2800000,Comedy,1974,12,15,8.0,PG,4282851
Diary of the Dead,2007-09-08,en,95.0,5364858,2000000,Horror,2007,9,8,5.6,R,3804016
The Black Stallion,1979-10-17,en,118.0,37799643,2700000,Adventure,1979,10,17,7.3,G,24400000
Donovan's Reef,1963-06-12,en,109.0,6600000,2686000,Adventure,1963,6,12,6.9,Approved,1109095
Blazing Saddles,1974-02-07,en,93.0,119500000,2600000,Western,1974,2,7,7.7,R,1000000
Friday the 13th: The Final Chapter,1984-04-13,en,91.0,32980880,2600000,Horror,1984,4,13,6.0,R,76820
Ida,2013-10-25,pl,80.0,10700000,2159280,Drama,2013,10,25,7.4,PG-13,49144
Riding Giants,2004-07-09,en,105.0,3166000,2600000,Documentary,2004,7,9,7.9,PG-13,6879971
A Haunted House,2013-01-11,en,86.0,60141683,2500000,Comedy,2013,1,11,5.0,R,-192610
2016: Obama's America,2012-07-13,en,87.0,33400000,2500000,Documentary,2012,7,13,5.0,PG,-973295
Halloween III: Season of the Witch,1982-10-22,en,98.0,14400000,2500000,Horror,1982,10,22,4.9,R,11980005
Escape from the Planet of the Apes,1971-05-20,en,98.0,12348905,2500000,Action,1971,5,20,6.3,G,-642148
Hud,1963-05-29,en,112.0,10000000,2500000,Action,1963,5,29,7.8,Not Rated,8947954
Garden State,2004-07-28,en,102.0,26781723,2500000,Comedy,2004,7,28,7.4,R,387000
Before Sunrise,1995-01-27,en,105.0,5535405,2500000,Drama,1995,1,27,8.1,R,700000
Robot & Frank,2012-08-16,en,85.0,3325038,2500000,Science,2012,8,16,7.1,PG-13,2696708
The Spectacular Now,2013-08-02,en,95.0,6854611,2500000,Comedy,2013,8,2,7.1,R,2100000
Get on the Bus,1996-10-16,en,120.0,5731103,2400000,Drama,1996,10,16,6.7,R,15563727
This Is England,2006-09-12,en,101.0,8176544,2380000,Drama,2006,9,12,7.7,Not Rated,22116152
Friday the 13th Part III,1982-08-13,en,95.0,36690067,4000000,Horror,1982,8,13,5.7,R,16370001
Friday the 13th: A New Beginning,1985-03-22,en,92.0,21930418,2200000,Horror,1985,3,22,4.8,R,30977967
[REC],2007-04-10,es,78.0,30448000,1500000,Horror,2007,4,10,7.4,R,83473333
From Russia with Love,1963-10-11,en,115.0,78898765,2000000,Action,1963,10,11,7.4,PG,3364858
Sleeper,1973-12-17,en,89.0,18344729,2000000,Comedy,1973,12,17,7.2,PG,35099643
It Follows,2015-02-04,en,100.0,14674076,2000000,Horror,2015,2,4,6.8,R,3914000
Everything You Always Wanted to Know About Sex *But Were Afraid to Ask,1972-08-06,en,88.0,18016290,2000000,Comedy,1972,8,6,6.8,R,2736000
To Kill a Mockingbird,1962-12-25,en,129.0,13129846,2000000,Crime,1962,12,25,8.2,Approved,116900000
Mad Max 2,1981-12-24,en,95.0,24600832,2000000,Adventure,1981,12,24,7.6,R,30380880
Boys Don't Cry,1999-09-02,en,118.0,11540607,2000000,Crime,1999,9,2,7.5,R,8540720
Silent House,2011-01-21,en,85.0,13101672,2000000,Horror,2011,1,21,5.2,R,566000
Das Leben der Anderen,2006-03-15,de,137.0,70000000,2000000,Drama,2006,3,15,No Rating,No Rating,4659200
The Hustler,1961-09-25,en,134.0,7600000,2000000,Drama,1961,9,25,8.0,Not Rated,57641683
Les triplettes de Belleville,2003-06-11,fr,80.0,1477676,8000000,Adventure,2003,6,11,No Rating,No Rating,30900000
Before Sunset,2004-02-10,en,80.0,15992615,2700000,Drama,2004,2,10,8.0,R,11900000
Amores perros,2000-06-16,es,154.0,20908467,2000000,Drama,2000,6,16,8.1,R,9848905
Thirteen,2003-08-20,en,100.0,4601043,2000000,Crime,2003,8,20,6.8,R,7500000
Winter's Bone,2010-06-11,en,100.0,13831503,2000000,Drama,2010,6,11,7.2,R,24281723
